datahora,favor,contra
2016-09-04 00:52:07,114159,11203
2016-09-04 00:52:38,114173,11203
2016-09-04 00:54:00,114198,11204
2016-09-04 00:54:31,114210,11205
2016-09-04 00:55:02,114226,11205
2016-09-04 00:55:33,114240,11205
2016-09-04 00:56:04,114255,11206
2016-09-04 00:56:35,114278,11206
2016-09-04 00:57:06,114290,11206
2016-09-04 00:57:37,114310,11206
2016-09-04 00:58:08,114328,11207
2016-09-04 00:58:39,114358,11209
2016-09-04 00:59:11,114370,11209
2016-09-04 00:59:42,114389,11209
2016-09-04 01:00:13,114408,11211
2016-09-04 01:00:44,114425,11211
2016-09-04 01:01:15,114438,11211
2016-09-04 01:01:46,114456,11211
2016-09-04 01:02:18,114475,11212
2016-09-04 01:02:49,114489,11214
2016-09-04 01:03:20,114508,11214
2016-09-04 01:03:51,114515,11215
2016-09-04 01:04:23,114537,11215
2016-09-04 01:04:54,114550,11215
2016-09-04 01:05:26,114568,11215
2016-09-04 01:05:57,114577,11215
2016-09-04 01:06:28,114593,11215
2016-09-04 01:06:59,114608,11216
2016-09-04 01:07:30,114622,11216
2016-09-04 01:08:01,114645,11217
2016-09-04 01:08:33,114656,11218
2016-09-04 01:09:04,114672,11218
2016-09-04 01:09:35,114690,11219
2016-09-04 01:10:06,114706,11220
2016-09-04 01:10:38,114719,11221
2016-09-04 01:11:09,114731,11222
2016-09-04 01:11:40,114750,11223
2016-09-04 01:12:11,114762,11223
2016-09-04 01:12:42,114772,11223
2016-09-04 01:13:13,114786,11224
2016-09-04 01:14:44,114832,11228
2016-09-04 01:15:16,114847,11228
2016-09-04 01:15:47,114859,11228
2016-09-04 01:16:18,114875,11229
2016-09-04 01:16:50,114892,11229
2016-09-04 01:17:21,114908,11229
2016-09-04 01:17:53,114925,11229
2016-09-04 01:18:24,114939,11229
2016-09-04 01:18:55,114961,11229
2016-09-04 01:19:27,114972,11229
2016-09-04 01:19:58,114987,11230
2016-09-04 01:20:29,114998,11231
2016-09-04 01:21:01,115010,11231
2016-09-04 01:21:32,115021,11231
2016-09-04 01:22:03,115042,11232
2016-09-04 01:22:35,115059,11232
2016-09-04 01:23:06,115074,11232
2016-09-04 01:23:38,115087,11233
2016-09-04 01:24:09,115102,11234
2016-09-04 01:24:41,115119,11234
2016-09-04 01:25:13,115132,11235
2016-09-04 01:25:44,115141,11235
2016-09-04 01:26:16,115157,11236
2016-09-04 01:26:47,115172,11237
2016-09-04 01:27:18,115192,11237
2016-09-04 01:27:49,115203,11238
2016-09-04 01:28:21,115211,11239
2016-09-04 01:28:52,115224,11239
2016-09-04 01:29:23,115235,11239
2016-09-04 01:29:55,115243,11239
2016-09-04 01:30:26,115256,11240
2016-09-04 01:30:58,115267,11240
2016-09-04 01:31:29,115281,11240
2016-09-04 01:32:00,115292,11240
2016-09-04 01:32:32,115302,11240
2016-09-04 01:33:03,115315,11240
2016-09-04 01:33:35,115325,11240
2016-09-04 01:34:07,115334,11241
2016-09-04 01:34:38,115346,11241
2016-09-04 01:36:00,115386,11243
2016-09-04 01:36:31,115396,11245
2016-09-04 01:37:03,115409,11245
2016-09-04 01:37:34,115416,11245
2016-09-04 01:38:05,115430,11246
2016-09-04 01:38:37,115444,11247
2016-09-04 01:39:09,115455,11247
2016-09-04 01:39:40,115469,11247
2016-09-04 01:40:11,115481,11248
2016-09-04 01:40:42,115491,11249
2016-09-04 01:41:14,115495,11249
2016-09-04 01:41:45,115508,11249
2016-09-04 01:42:16,115518,11249
2016-09-04 01:42:47,115527,11249
2016-09-04 01:43:19,115535,11249
2016-09-04 01:43:50,115551,11249
2016-09-04 01:44:22,115566,11249
2016-09-04 01:44:53,115583,11249
2016-09-04 01:45:25,115603,11250
2016-09-04 01:45:56,115608,11250
2016-09-04 01:46:27,115622,11250
2016-09-04 01:46:59,115634,11250
2016-09-04 01:47:30,115644,11251
2016-09-04 01:48:03,115656,11251
2016-09-04 01:48:35,115667,11252
2016-09-04 01:49:07,115676,11252
2016-09-04 01:49:40,115688,11252
2016-09-04 01:50:11,115695,11252
2016-09-04 01:50:42,115704,11252
2016-09-04 01:51:14,115708,11252
2016-09-04 01:51:45,115715,11252
2016-09-04 01:52:17,115725,11252
2016-09-04 01:52:48,115737,11252
2016-09-04 01:53:19,115749,11253
2016-09-04 01:53:51,115766,11253
2016-09-04 01:54:22,115781,11253
2016-09-04 01:54:53,115792,11253
2016-09-04 01:55:25,115802,11253
2016-09-04 01:56:46,115826,11253
2016-09-04 01:57:19,115836,11253
2016-09-04 01:57:51,115845,11253
2016-09-04 01:58:22,115858,11253
2016-09-04 01:58:54,115869,11253
2016-09-04 01:59:25,115875,11256
2016-09-04 01:59:56,115885,11257
2016-09-04 02:00:28,115893,11257
2016-09-04 02:00:59,115904,11258
2016-09-04 02:01:31,115911,11258
2016-09-04 02:02:02,115922,11258
2016-09-04 02:02:34,115932,11258
2016-09-04 02:03:05,115942,11258
2016-09-04 02:03:36,115948,11258
2016-09-04 02:04:08,115954,11258
2016-09-04 02:04:40,115960,11260
2016-09-04 02:05:11,115969,11260
2016-09-04 02:05:42,115978,11260
2016-09-04 02:06:14,115988,11261
2016-09-04 02:06:45,115995,11261
2016-09-04 02:07:17,116006,11261
2016-09-04 02:07:48,116010,11261
2016-09-04 02:08:19,116013,11262
2016-09-04 02:08:51,116025,11262
2016-09-04 02:09:22,116035,11263
2016-09-04 02:09:53,116044,11263
2016-09-04 02:10:25,116052,11263
2016-09-04 02:10:57,116059,11263
2016-09-04 02:11:28,116066,11263
2016-09-04 02:11:59,116078,11263
2016-09-04 02:12:31,116087,11263
2016-09-04 02:13:02,116105,11263
2016-09-04 02:13:33,116117,11264
2016-09-04 02:14:05,116128,11264
2016-09-04 02:14:36,116141,11264
2016-09-04 02:15:08,116148,11264
2016-09-04 02:15:39,116153,11264
2016-09-04 02:16:10,116164,11264
2016-09-04 02:17:32,116188,11265
2016-09-04 02:18:03,116188,11265
2016-09-04 02:18:35,116208,11265
2016-09-04 02:19:06,116222,11265
2016-09-04 02:19:38,116230,11265
2016-09-04 02:20:09,116240,11265
2016-09-04 02:20:40,116248,11265
2016-09-04 02:21:12,116252,11265
2016-09-04 02:21:44,116265,11266
2016-09-04 02:22:15,116277,11268
2016-09-04 02:22:46,116288,11269
2016-09-04 02:23:18,116296,11269
2016-09-04 02:23:49,116307,11269
2016-09-04 02:24:20,116314,11269
2016-09-04 02:24:52,116322,11269
2016-09-04 02:25:23,116330,11271
2016-09-04 02:25:54,116336,11272
2016-09-04 02:26:26,116343,11272
2016-09-04 02:26:57,116343,11272
2016-09-04 02:27:28,116352,11272
2016-09-04 02:28:00,116363,11272
2016-09-04 02:28:31,116374,11273
2016-09-04 02:29:03,116390,11273
2016-09-04 02:29:34,116404,11273
2016-09-04 02:30:06,116412,11273
2016-09-04 02:30:37,116417,11273
2016-09-04 02:31:09,116425,11273
2016-09-04 02:31:40,116432,11274
2016-09-04 02:32:11,116432,11274
2016-09-04 02:32:43,116442,11274
2016-09-04 02:33:14,116450,11274
2016-09-04 02:33:46,116450,11274
2016-09-04 02:34:17,116456,11274
2016-09-04 02:34:48,116468,11276
2016-09-04 02:35:20,116476,11276
2016-09-04 02:35:51,116476,11276
2016-09-04 02:36:23,116486,11276
2016-09-04 02:36:55,116494,11276
2016-09-04 02:38:16,116517,11277
2016-09-04 02:38:49,116526,11277
2016-09-04 02:39:20,116535,11278
2016-09-04 02:39:51,116546,11278
2016-09-04 02:40:23,116549,11278
2016-09-04 02:40:55,116553,11278
2016-09-04 02:41:26,116565,11279
2016-09-04 02:41:57,116576,11280
2016-09-04 02:42:29,116582,11280
2016-09-04 02:43:00,116585,11280
2016-09-04 02:43:32,116590,11280
2016-09-04 02:44:03,116598,11280
2016-09-04 02:44:35,116605,11280
2016-09-04 02:45:06,116611,11280
2016-09-04 02:45:37,116616,11281
2016-09-04 02:46:09,116623,11281
2016-09-04 02:46:40,116627,11281
2016-09-04 02:47:11,116635,11281
2016-09-04 02:47:43,116639,11282
2016-09-04 02:48:14,116642,11284
2016-09-04 02:48:45,116647,11284
2016-09-04 02:49:18,116651,11285
2016-09-04 02:49:50,116659,11286
